,user,text,favorite_count,retweet_count,created_at
121,elonmusk,"We even did a Starlink video call on one airplane aloft to Starlink on another, far away, airplane aloft and it worked perfectly with no lag!",37228,2068,2022-10-19 17:02:48+00:00
122,elonmusk,Vox Populi Vox Dei,53961,5721,2022-10-19 16:59:23+00:00
123,elonmusk,"@chazman @aelluswamy Several major architectural upgrades in 10.69.3, so it’s much more than a point release, but we’re sticking with 10.69 just cause haha",7089,471,2022-10-19 13:45:30+00:00
124,elonmusk,@BillyM2k @atrupar Sounds fair,5357,215,2022-10-19 04:38:38+00:00
125,elonmusk,@BillyM2k Definitely giving me kid naming ideas 🤣,43869,1365,2022-10-19 03:59:49+00:00
126,elonmusk,And … sold out!,58009,1750,2022-10-19 03:58:56+00:00
127,elonmusk,Internet in airplanes will feel same as if you were accessing Internet at home! https://t.co/Mfl2ixYnJH,98357,8102,2022-10-19 03:37:07+00:00
128,elonmusk,"28,700 bottles of exquisite Burnt Hair perfume already sold! 

Only 1,300 left of this unique, limited edition, collector’s item. https://t.co/Gh2Zg7B5qX",46112,3328,2022-10-19 01:42:18+00:00
129,elonmusk,@cb_doge @alex_avoigt We’re working on it. Hope to release something next week.,2903,182,2022-10-19 00:07:43+00:00
130,elonmusk,"@alex_avoigt No money from DoD, but several other countries, orgs &amp; individuals are paying for ~11k/25k terminals (thanks!).

SpaceX is losing ~$20M/month due to unpaid service &amp; costs related to enhanced security measures for cyberwar defense, but we’ll keep doing it (sigh).",33357,2800,2022-10-19 00:06:14+00:00
131,elonmusk,"@atrupar Smart? Maybe. 
Does dumb stuff? Definitely!",12432,587,2022-10-18 20:27:31+00:00
132,elonmusk,@balajis True,2668,102,2022-10-18 19:11:02+00:00
133,elonmusk,@HassanNatha https://t.co/jxA4stwf1d,4146,186,2022-10-18 15:49:06+00:00
134,elonmusk,@TonyadeVitti 🤣,4086,102,2022-10-18 15:45:12+00:00
135,elonmusk,@520AlRihla Exactly,1531,64,2022-10-18 15:12:00+00:00
136,elonmusk,@tesla4k 🤣,1976,46,2022-10-18 15:07:38+00:00
137,elonmusk,"@larryronaldpar1 Should I make weapons? Ideally, not.",3869,205,2022-10-18 15:07:11+00:00
138,elonmusk,@TeslaHype An easy prediction,4862,160,2022-10-18 15:03:28+00:00
139,elonmusk,"Drone War I
https://t.co/erVME0CbbN",55718,5277,2022-10-18 14:35:49+00:00
140,elonmusk,@FLVoiceNews https://t.co/CCaYpontFG,12854,749,2022-10-18 13:12:43+00:00
141,elonmusk,@teslaownersSV (Actually) Smart Summon is almost done,15879,785,2022-10-18 06:11:12+00:00
142,elonmusk,@Teslaconomics Yes,12233,571,2022-10-18 02:19:08+00:00
143,elonmusk,@stoolpresidente I have a plan,64837,2333,2022-10-18 01:52:35+00:00
144,elonmusk,@TeslaAIBot @SpaceX @Tesla Thanks Optimus :),18699,707,2022-10-18 00:27:18+00:00
145,elonmusk,"@SawyerMerritt @SpaceX To be precise, 25,300 terminals were sent to Ukraine, but, at present, only 10,630 are paying for service",9329,743,2022-10-17 19:57:10+00:00
146,elonmusk,@SawyerMerritt @SpaceX SpaceX has already withdrawn its request for funding,57360,3213,2022-10-17 19:52:57+00:00
147,elonmusk,"@starrski71 @RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Wrong analogy. America also had a humiliating withdrawal from Afghanistan. No one in America sees that country as part of America.

Crimea *is* seen as a crucial part of Russia by Russia, much as Hawaii is seen as a crucial part of America.",8738,895,2022-10-17 14:03:13+00:00
148,elonmusk,@EnjoyerFive 🎯🤣,13810,326,2022-10-17 13:52:08+00:00
